lat,lon,認可施設.事業所等名,利用定員,所在地,電話番号,公私,設置主体,施設の類型,開設時間.平日.,受入可能年齢,特別保育の実施状況
NA,NA,上飯田南保育園,130,愛知県名古屋市北区上飯田南町4,915-1470,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.223116,136.916046,西味鋺保育園,100,愛知県名古屋市北区西味鋺三丁目227,902-2444,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,水草保育園,90,愛知県名古屋市北区水草町2,915-4640,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育,子育て支援センター
NA,NA,宮前保育園,100,愛知県名古屋市北区上飯田南町4,914-5250,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,大野保育園,90,愛知県名古屋市北区大野町5,914-2996,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,めいほく保育園,120,愛知県名古屋市北区上飯田南町5,911-1627,私立,社会福祉法人,保育所,午前7時00分から午後10時00分,産休あけから5歳,延長保育,一時保育,子育て支援センター,入所予約,休日保育
NA,NA,川中保育園,120,愛知県名古屋市北区中切町2,914-9607,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育,一時保育,入所予約
NA,NA,第二めいほく保育園,30,愛知県名古屋市北区上飯田南町1,914-9554,私立,社会福祉法人,保育所,午前7時15分から午後7時30分,産休あけから2歳,延長保育
NA,NA,愛厚大曽根保育園,70,愛知県名古屋市北区芦辺町3,981-0644,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,産休あけから5歳,延長保育
NA,NA,瑠璃光幼児園,80,愛知県名古屋市北区瑠璃光町1,912-5003,私立,宗教法人,保育所,午前7時30分から午後6時00分,1歳6ヶ月から5歳,
NA,NA,徳風幼児園,100,愛知県名古屋市北区辻町4,981-3246,私立,宗教法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,入所予約,延長保育
NA,NA,萩野保育園,225,愛知県名古屋市北区光音寺町2,981-9683,私立,宗教法人,保育所,午前7時00分から午後7時00分,6ヶ月から5歳,延長保育,入所予約
35.229934,136.906262,大和保育園,120,愛知県名古屋市北区大我麻町277,903-4747,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育,子育て支援センター,入所予約
NA,NA,ほほえみ保育園,110,愛知県名古屋市北区楠4丁目422,902-6001,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育
NA,NA,アスクあじま保育園,60,愛知県名古屋市北区東味鋺三丁目101,909-5711,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育
35.228399,136.916642,新生第2保育園,40,愛知県名古屋市北区五反田町297,903-8080,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから3歳,延長保育,入所予約
NA,NA,てんちょうくすのき保育園,40,愛知県名古屋市北区西味鋺三丁目813,909-4753,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,6ヶ月から2歳,延長保育
NA,NA,新生東志賀保育園,59,愛知県名古屋市北区志賀町5,917-5077,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから2歳,延長保育,入所予約
35.192933,136.908633,あかつき田幡保育園,100,愛知県名古屋市北区柳原三丁目6,325-2216,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,入所予約
35.228399,136.916642,新生さくら保育園,73,愛知県名古屋市北区五反田町295,901-0073,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,一時保育
NA,NA,黒川ほのぼの保育園,60,愛知県名古屋市北区元志賀町1丁目10,913-5180,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,6ヶ月から5歳,延長保育
NA,NA,スクルドエンジェル保育園あじま園,60,愛知県名古屋市北区中味鋺三丁目904,982-6461,私立,株式会社,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.191742,136.904519,ちいさなおうちえん城北,10,愛知県名古屋市北区名城二丁目2,911-8800,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.18947,136.93087,小規模保育事業保育ルームルナ3大曽根,15,愛知県名古屋市北区大曽根二丁目3,916-0012,私立,社会福祉法人,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,名古屋市ポピンズ保育室志賀公園,15,愛知県名古屋市北区金城町3丁目1,991-2104,私立,株式会社,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
35.205043,136.932435,保育室てとろっこ,15,愛知県名古屋市北区上飯田北町二丁目60,918-7600,私立,特定非営利活動法人,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
35.194572,136.931932,リーゴ平安通,15,愛知県名古屋市北区平安一丁目9,919-0227,私立,一般財団法人,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,めいほくつぼみ保育室,10,愛知県名古屋市北区御成通3丁目20,911-1627,私立,社会福祉法人,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,ぽかぽか保育室如意,10,愛知県名古屋市北区桐畑町101,982-6601,私立,株式会社,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
