predicted,test
8.93548227189201,10.25
8.48351943487379,7.1
8.897768945431407,7.54
10.070845294919542,9.34
6.905614501139658,7.72
7.689602247189078,7.7
7.424964957695901,5.53
11.678812197947261,11.69
8.45195693487379,9.0
7.678423453950872,7.59
8.138110183399386,5.82
6.790954889578774,6.51
35.35919232642526,15.91
18.525941038983103,12.14
10.286343237997185,9.94
8.93548227189201,10.09
8.93548227189201,6.25
8.160323929443393,7.85
12.345352852958522,10.67
8.853248894255547,11.61
12.128461390518316,12.59
10.82877065027144,9.87
12.36162445293384,11.3
7.208231056771265,7.72
9.953828301353154,10.29
6.893048259636003,7.25
14.54882580722882,13.81
7.424964957695901,6.34
9.868054578133787,9.67
6.4266105424156,7.03
13.834788435133726,12.4
8.160323929443393,9.0
7.7919928732208295,7.13
8.897768945431407,8.91
7.424964957695901,6.48
7.424964957695901,7.02
9.41406172769634,13.68
7.424964957695901,8.68
9.103169365965087,9.31
10.860533888751487,8.95
9.337209454527578,9.89
7.424964957695901,8.5
8.364953292230934,6.32
8.364953292230934,10.15
8.364953292230934,8.36
8.93548227189201,10.24
10.286343237997185,10.84
9.41406172769634,7.83
10.650769413037564,9.42
8.364953292230934,6.31
28.52681061571463,23.0
11.72609646076996,12.93
7.208231056771265,7.04
7.678423453950872,6.69
7.678423453950872,7.23
8.93548227189201,7.9
20.514080626966514,40.0
9.534586912418986,6.52
15.91182122264917,10.22
8.93548227189201,6.66
9.868054578133787,11.02
11.238033070542896,9.82
9.868054578133787,10.06
9.868054578133787,10.62
16.048622496817572,23.87
8.93548227189201,9.03
7.250038802580757,8.1
9.337209454527578,9.98
8.288434002785207,8.32
8.853248894255547,5.99
7.678423453950872,9.2
14.30689229756759,11.1
9.103169365965087,7.53
10.82877065027144,13.94
8.29527687996444,7.28
7.250038802580757,7.9
10.177945680347056,14.15
7.208231056771265,6.25
8.897768945431407,9.05
7.678423453950872,7.86
8.897768945431407,9.06
11.238033070542896,11.01
6.893048259636003,6.02
7.208231056771265,8.67
8.364953292230934,6.47
7.678423453950872,8.33
7.678423453950872,8.43
7.678423453950872,9.22
9.534586912418986,8.45
8.853248894255547,9.0
12.450211866547475,9.64
9.534586912418986,10.85
9.41406172769634,9.39
9.523850097692414,9.28
9.41406172769634,6.48
10.286343237997185,10.26
10.82877065027144,12.34
8.416727253415193,9.63
7.678423453950872,8.82
8.93548227189201,8.41
9.868054578133787,6.78
7.678423453950872,7.1
9.41406172769634,10.49
7.424964957695901,7.35
7.689602247189078,9.73
11.653054129306549,10.51
6.322522189958258,5.11
9.868054578133787,10.48
7.678423453950872,5.46
5.253976887680146,6.26
10.070845294919542,9.86
10.286343237997185,10.49
9.103169365965087,9.06
9.337209454527578,10.54
7.424964957695901,5.53
12.36162445293384,13.73
10.177945680347056,9.42
8.364953292230934,7.25
13.43921919159743,13.8
6.905614501139658,7.89
9.103169365965087,8.01
11.134756505309792,10.54
7.678423453950872,7.23
14.54882580722882,13.18
8.416727253415193,8.45
6.346147225628756,4.72
9.868054578133787,9.27
10.286343237997185,10.61
8.93548227189201,9.18
9.103169365965087,10.43
7.90258133797031,9.46
8.93548227189201,8.01
4.819253150032466,4.44
9.337209454527578,10.3
8.853248894255547,7.91
7.678423453950872,7.62
10.286343237997185,6.82
9.868054578133787,11.05
7.689602247189078,7.08
6.346147225628756,7.64
7.424964957695901,6.83
27.073125441896895,25.0
7.678423453950872,9.9
11.72609646076996,7.53
8.364953292230934,7.53
8.29527687996444,7.33
8.160323929443393,8.56
8.853248894255547,5.75
8.897768945431407,8.18
12.345352852958522,10.32
8.783058938102515,11.13
7.678423453950872,7.31
8.29527687996444,6.66
9.103169365965087,8.29
8.138110183399386,8.13
5.7231759631476375,5.08
7.208231056771265,6.54
7.424964957695901,8.3
10.286343237997185,10.44
12.847178544934929,11.58
8.160323929443393,6.87
10.070845294919542,12.53
7.208231056771265,6.69
8.364953292230934,7.53
11.678812197947261,6.83
9.868054578133787,12.44
8.364953292230934,7.25
4.819253150032466,4.75
8.364953292230934,6.78
8.160323929443393,6.99
5.796029019852841,6.0
8.364953292230934,9.13
7.678423453950872,5.72
6.893048259636003,5.05
7.678423453950872,7.93
8.853248894255547,9.43
7.689602247189078,8.46
7.90258133797031,7.58
4.841229340508656,3.79
10.070845294919542,10.39
7.689602247189078,6.38
8.897768945431407,8.14
6.346147225628756,5.4
7.90258133797031,9.24
7.424964957695901,8.49
6.893048259636003,5.07
9.103169365965087,8.73
13.834788435133726,11.64
8.45195693487379,7.93
7.208231056771265,7.1
8.853248894255547,9.61
10.070845294919542,14.92
6.300166097971156,5.17
10.650769413037564,10.17
6.745711408363629,6.02
9.868054578133787,7.9
6.893048259636003,7.71
7.424964957695901,6.32
8.853248894255547,9.41
8.364953292230934,8.5
12.565313798623022,12.59
9.41406172769634,9.84
7.424964957695901,8.68
9.337209454527578,8.78
13.419946579493613,14.29
11.653054129306549,11.72
8.333663826351387,7.83
10.070845294919542,6.84
8.364953292230934,6.56
7.424964957695901,6.64
7.424964957695901,6.92
